time,open,high,low,close,tick_volume,spread,real_volume
2024-08-21 08:00:00,1.11224,1.11227,1.11121,1.11157,877,30,0
2024-08-21 12:00:00,1.11157,1.11286,1.11088,1.11134,6964,30,0
2024-08-21 16:00:00,1.11129,1.11571,1.10993,1.11544,11241,30,0
2024-08-21 20:00:00,1.1154,1.11727,1.11459,1.11479,5001,30,0
2024-08-22 00:00:00,1.11474,1.11566,1.11413,1.11419,3179,30,0
2024-08-22 04:00:00,1.11419,1.11444,1.11391,1.11417,2905,30,0
2024-08-22 08:00:00,1.11417,1.11644,1.11261,1.11385,7683,30,0
2024-08-22 12:00:00,1.11386,1.11448,1.11109,1.11175,8039,30,0
2024-08-22 16:00:00,1.11179,1.11183,1.10968,1.11014,9204,30,0
2024-08-22 20:00:00,1.11014,1.11121,1.11014,1.11098,3570,30,0
2024-08-23 00:00:00,1.11098,1.1127,1.11094,1.11263,3679,30,0
2024-08-23 04:00:00,1.11263,1.11275,1.11216,1.11247,3121,30,0
2024-08-23 08:00:00,1.11244,1.11307,1.11112,1.1116,6105,30,0
2024-08-23 12:00:00,1.11158,1.1122,1.11042,1.11135,6564,30,0
2024-08-23 16:00:00,1.11133,1.11965,1.1113,1.11913,12723,30,0
2024-08-23 20:00:00,1.11914,1.11997,1.11843,1.11915,4361,30,0
2024-08-26 00:00:00,1.11906,1.12003,1.1185100000000001,1.11881,5461,30,0
2024-08-26 04:00:00,1.11881,1.11934,1.11764,1.11779,3599,30,0
2024-08-26 08:00:00,1.11779,1.11879,1.11703,1.1173,6920,30,0
2024-08-26 12:00:00,1.1173,1.11755,1.11488,1.11584,8567,30,0
2024-08-26 16:00:00,1.11584,1.11776,1.11527,1.11683,7779,30,0
2024-08-26 20:00:00,1.11683,1.11697,1.11572,1.11598,3776,30,0
2024-08-27 00:00:00,1.11598,1.11693,1.11583,1.11679,3273,30,0
2024-08-27 04:00:00,1.11679,1.1171,1.11629,1.11656,2955,30,0
2024-08-27 08:00:00,1.11655,1.11774,1.116,1.11669,7030,30,0
2024-08-27 12:00:00,1.11669,1.11686,1.11491,1.11671,7834,30,0
2024-08-27 16:00:00,1.11666,1.11814,1.11574,1.1179999999999999,8415,30,0
2024-08-27 20:00:00,1.11797,1.11893,1.11787,1.11816,3934,30,0
2024-08-28 00:00:00,1.11816,1.11839,1.11708,1.11725,4441,30,0
2024-08-28 04:00:00,1.11725,1.11764,1.11385,1.11425,4165,30,0
2024-08-28 08:00:00,1.11425,1.11565,1.11339,1.11504,3240,30,0
2024-09-05 12:00:00,1.1096300000000001,1.11191,1.10866,1.10918,6980,11,0
2024-09-05 16:00:00,1.10918,1.11077,1.10758,1.11005,19217,11,0
2024-09-05 20:00:00,1.11005,1.11127,1.1099,1.11099,5867,11,0
2024-09-06 00:00:00,1.11068,1.11141,1.11067,1.11128,2267,11,0
2024-09-06 04:00:00,1.11128,1.11171,1.11088,1.11154,2930,11,0
2024-09-06 08:00:00,1.11154,1.11205,1.11104,1.11169,8591,11,0
2024-09-06 12:00:00,1.11169,1.1155,1.10798,1.11204,16393,11,0
2024-09-06 16:00:00,1.11204,1.11346,1.10651,1.10762,37155,11,0
2024-09-06 20:00:00,1.10762,1.1089,1.10691,1.10842,11196,11,0
2024-09-09 00:00:00,1.10778,1.10906,1.10766,1.10826,4536,11,0
2024-09-09 04:00:00,1.10826,1.10905,1.10741,1.10752,5553,11,0
2024-09-09 08:00:00,1.10752,1.10753,1.10451,1.10471,10411,11,0
2024-09-09 12:00:00,1.10471,1.10587,1.10352,1.10391,10851,11,0
2024-09-09 16:00:00,1.10391,1.10517,1.10336,1.10482,12240,11,0
2024-09-09 20:00:00,1.10482,1.10532,1.10332,1.10344,6986,11,0
2024-09-10 00:00:00,1.10316,1.10393,1.10279,1.10303,2929,11,0
2024-09-10 04:00:00,1.10303,1.10401,1.10301,1.10396,3550,11,0
2024-09-10 08:00:00,1.10396,1.10491,1.10331,1.10373,8646,11,0
2024-09-10 12:00:00,1.10373,1.10433,1.10261,1.10294,9155,11,0
2024-09-10 16:00:00,1.10294,1.10344,1.10145,1.10262,14016,11,0
2024-09-10 20:00:00,1.10262,1.10273,1.10177,1.10187,5398,11,0
2024-09-11 00:00:00,1.10187,1.10232,1.10162,1.10196,2843,11,0
2024-09-11 04:00:00,1.10196,1.10466,1.10178,1.1046,7965,11,0
2024-09-11 08:00:00,1.1046,1.10515,1.10361,1.10433,10354,11,0
2024-09-11 12:00:00,1.10433,1.10544,1.1003,1.10158,15723,11,0
2024-09-11 16:00:00,1.10158,1.10257,1.10015,1.10154,21981,11,0
2024-09-11 20:00:00,1.10154,1.10261,1.10105,1.10107,7822,11,0
2024-09-12 00:00:00,1.10102,1.10147,1.10055,1.10063,2863,11,0
2024-09-12 04:00:00,1.10062,1.10164,1.1006,1.10158,4350,11,0
2024-09-12 08:00:00,1.10158,1.10234,1.1005,1.1015,8375,11,0
2024-09-12 12:00:00,1.1015,1.1032,1.1009,1.10245,12831,11,0
2024-09-12 16:00:00,1.10245,1.10475,1.10242,1.10456,16243,11,0
2024-09-12 20:00:00,1.10456,1.10745,1.1042,1.1074,10255,11,0
2024-09-13 00:00:00,1.10688,1.10869,1.10683,1.10865,3403,11,0
2024-09-13 04:00:00,1.10865,1.10896,1.10788,1.10839,6095,11,0
2024-09-13 08:00:00,1.10839,1.10936,1.10726,1.10921,9236,11,0
2024-09-13 12:00:00,1.10921,1.11002,1.10787,1.10925,11786,11,0
2024-09-13 16:00:00,1.10925,1.11014,1.10764,1.10834,16530,11,0
2024-09-13 20:00:00,1.10834,1.10854,1.10722,1.10735,5983,11,0
2024-09-16 00:00:00,1.10736,1.10919,1.10734,1.10889,3549,11,0
2024-09-16 04:00:00,1.1089,1.11043,1.10861,1.10967,5422,11,0
2024-09-16 08:00:00,1.10967,1.11256,1.1095,1.11223,9127,11,0
2024-09-16 12:00:00,1.11223,1.11324,1.11154,1.11245,11471,11,0
2024-09-16 16:00:00,1.11244,1.1137,1.11161,1.11285,14209,11,0
2024-09-16 20:00:00,1.11285,1.11328,1.11156,1.11322,6639,11,0
2024-09-17 00:00:00,1.1131199999999999,1.11317,1.11214,1.11225,3577,11,0
2024-09-17 04:00:00,1.11225,1.11293,1.11212,1.11239,4953,11,0
2024-09-17 08:00:00,1.11239,1.11457,1.11153,1.11441,9108,11,0
2024-09-17 12:00:00,1.11442,1.11442,1.11173,1.11243,13903,11,0
2024-09-17 16:00:00,1.11243,1.11278,1.11113,1.11188,18921,11,0
2024-09-17 20:00:00,1.11188,1.1123,1.11103,1.11134,8311,11,0
2024-09-18 00:00:00,1.11111,1.11282,1.11084,1.11264,2566,11,0
2024-09-18 04:00:00,1.11264,1.113,1.11194,1.11195,4256,11,0
2024-09-18 08:00:00,1.11194,1.11328,1.11148,1.11291,9279,11,0
2024-09-18 12:00:00,1.11291,1.11393,1.11175,1.11218,8961,11,0
2024-09-18 16:00:00,1.11218,1.11392,1.11077,1.11237,14104,11,0
2024-09-18 20:00:00,1.11237,1.11885,1.10962,1.11172,34788,11,0
2024-09-19 00:00:00,1.11123,1.11234,1.10785,1.1081,6936,11,0
2024-09-19 04:00:00,1.1081,1.11208,1.1068,1.11196,11496,11,0
2024-09-19 08:00:00,1.11196,1.11686,1.11195,1.11622,16439,11,0
2024-09-19 12:00:00,1.11622,1.11783,1.11252,1.11255,19360,11,0
2024-09-19 16:00:00,1.11255,1.1158,1.11161,1.1155,23482,11,0
2024-09-19 20:00:00,1.1155,1.11674,1.11518,1.11612,9346,11,0
2024-09-20 00:00:00,1.11582,1.11623,1.11568,1.11599,3749,11,0
2024-09-20 04:00:00,1.11599,1.11688,1.11567,1.11645,8073,11,0
2024-09-20 08:00:00,1.11645,1.11814,1.11519,1.11639,15181,11,0
2024-09-20 12:00:00,1.11641,1.11764,1.11536,1.1173899999999999,12274,11,0
2024-09-20 16:00:00,1.11738,1.11757,1.11355,1.11733,22914,11,0
2024-09-20 20:00:00,1.11733,1.11738,1.1155599999999999,1.11616,10080,11,0
2024-09-23 00:00:00,1.1161699999999999,1.11644,1.1155599999999999,1.11584,3194,11,0
2024-09-23 04:00:00,1.11583,1.11645,1.11552,1.11631,4329,11,0
2024-09-23 08:00:00,1.1163,1.1166800000000001,1.10827,1.1092,15846,11,0
2024-09-23 12:00:00,1.10919,1.11253,1.10917,1.1122,12961,11,0
2024-09-23 16:00:00,1.11219,1.11429,1.11148,1.11247,20653,11,0
2024-09-23 20:00:00,1.11247,1.1128,1.11093,1.11101,7649,11,0
2024-09-24 00:00:00,1.11092,1.11141,1.11038,1.11053,3408,11,0
2024-09-24 04:00:00,1.11053,1.11171,1.11028,1.11163,6070,11,0
2024-09-24 08:00:00,1.11163,1.11444,1.11038,1.11397,13023,11,0
2024-09-24 12:00:00,1.11397,1.11473,1.11216,1.11403,11926,11,0
2024-09-24 16:00:00,1.11403,1.1163,1.11321,1.1158,17844,11,0
2024-09-24 20:00:00,1.1158,1.11803,1.11541,1.11793,6681,11,0
2024-09-25 00:00:00,1.11757,1.11934,1.11746,1.11926,3682,11,0
2024-09-25 04:00:00,1.11928,1.11982,1.11847,1.11952,5425,11,0
2024-09-25 08:00:00,1.11952,1.11959,1.11817,1.11843,10491,11,0
2024-09-25 12:00:00,1.11843,1.12073,1.11777,1.11972,11792,11,0
2024-09-25 16:00:00,1.11972,1.12134,1.11324,1.11339,19524,11,0
2024-09-25 20:00:00,1.11339,1.11383,1.1121,1.11321,8660,11,0
2024-09-26 00:00:00,1.11313,1.11364,1.11257,1.1136,2974,11,0
2024-09-26 04:00:00,1.1136,1.11447,1.11311,1.11412,4255,11,0
2024-09-26 08:00:00,1.11411,1.11575,1.11252,1.11409,12857,11,0
2024-09-26 12:00:00,1.11409,1.11651,1.1137,1.11507,15894,11,0
