time,open,high,low,close,tick_volume,spread,real_volume
2024-09-05 12:00:00,2515.42,2523.4,2514.07,2517.72,14770,15,0
2024-09-05 16:00:00,2517.75,2520.53,2503.9,2510.37,51133,15,0
2024-09-05 20:00:00,2510.37,2516.85,2509.27,2516.59,14466,15,0
2024-09-06 00:00:00,2516.25,2517.92,2515.61,2515.89,6946,15,0
2024-09-06 04:00:00,2515.9,2519.53,2512.98,2518.41,20146,15,0
2024-09-06 08:00:00,2518.4,2521.8,2515.49,2517.85,25070,15,0
2024-09-06 12:00:00,2517.85,2529.18,2506.38,2522.26,31155,15,0
2024-09-06 16:00:00,2522.31,2523.02,2485.09,2489.01,79105,15,0
2024-09-06 20:00:00,2489.01,2497.76,2485.92,2497.36,26148,15,0
2024-09-09 00:00:00,2496.83,2498.28,2495.56,2495.98,10621,15,0
2024-09-09 04:00:00,2495.92,2500.43,2494.7,2498.22,25849,15,0
2024-09-09 08:00:00,2498.2,2498.31,2485.52,2492.18,37585,15,0
2024-09-09 12:00:00,2492.22,2504.13,2492.06,2500.91,27612,15,0
2024-09-09 16:00:00,2500.92,2505.21,2493.13,2504.31,40712,15,0
2024-09-09 20:00:00,2504.31,2507.12,2499.41,2506.18,15808,15,0
2024-09-10 00:00:00,2506.25,2507.64,2504.78,2505.4,7241,15,0
2024-09-10 04:00:00,2505.4,2506.84,2501.07,2501.77,22408,15,0
2024-09-10 08:00:00,2501.78,2507.72,2500.1,2502.31,27828,15,0
2024-09-10 12:00:00,2502.31,2514.02,2500.16,2513.79,27399,15,0
2024-09-10 16:00:00,2513.79,2518.4,2500.86,2514.38,45397,15,0
2024-09-10 20:00:00,2514.39,2517.41,2512.05,2516.5,15927,15,0
2024-09-11 00:00:00,2516.12,2519.12,2516.0,2516.54,7577,15,0
2024-09-11 04:00:00,2516.54,2522.54,2514.93,2519.6,29774,15,0
2024-09-11 08:00:00,2519.58,2528.99,2519.32,2524.27,34392,15,0
2024-09-11 12:00:00,2524.34,2524.69,2502.21,2508.16,34571,15,0
2024-09-11 16:00:00,2508.16,2520.02,2500.92,2515.17,58929,15,0
2024-09-11 20:00:00,2515.14,2516.89,2509.77,2511.31,18760,15,0
2024-09-12 00:00:00,2511.39,2513.89,2511.09,2512.16,6599,15,0
2024-09-12 04:00:00,2512.11,2517.72,2510.99,2517.02,24151,15,0
2024-09-12 08:00:00,2517.02,2522.22,2514.48,2517.36,26534,15,0
2024-09-12 12:00:00,2517.36,2535.24,2512.98,2528.5,33248,15,0
2024-09-12 16:00:00,2528.51,2555.18,2522.12,2550.68,60510,15,0
2024-09-12 20:00:00,2550.69,2560.07,2550.11,2558.56,25080,15,0
2024-09-13 00:00:00,2558.27,2562.74,2556.7,2561.57,10408,15,0
2024-09-13 04:00:00,2561.57,2570.11,2559.93,2568.8,31744,15,0
2024-09-13 08:00:00,2568.79,2571.05,2563.11,2569.96,34702,15,0
2024-09-13 12:00:00,2569.84,2575.87,2563.69,2575.82,31259,15,0
2024-09-13 16:00:00,2575.79,2585.12,2573.11,2584.3,49126,15,0
2024-09-13 20:00:00,2584.3,2586.02,2577.62,2578.9,17883,15,0
2024-09-16 00:00:00,2578.12,2582.36,2577.56,2581.34,8221,15,0
2024-09-16 04:00:00,2581.34,2588.96,2579.9,2585.79,15901,15,0
2024-09-16 08:00:00,2585.79,2589.62,2579.56,2586.87,27491,15,0
2024-09-16 12:00:00,2586.86,2588.26,2575.24,2583.43,29540,15,0
2024-09-16 16:00:00,2583.37,2589.32,2576.11,2583.68,40319,15,0
2024-09-16 20:00:00,2583.62,2584.1,2579.6,2582.38,12147,15,0
2024-09-17 00:00:00,2581.75,2584.39,2580.26,2580.26,6097,15,0
2024-09-17 04:00:00,2580.26,2586.3,2574.94,2576.91,19311,15,0
2024-09-17 08:00:00,2576.91,2586.89,2574.58,2580.13,26247,15,0
2024-09-17 12:00:00,2580.13,2581.67,2568.37,2577.77,35159,15,0
2024-09-17 16:00:00,2577.79,2582.21,2561.37,2563.13,47770,15,0
2024-09-17 20:00:00,2563.12,2571.64,2560.75,2569.41,18202,15,0
2024-09-18 00:00:00,2568.87,2574.76,2568.83,2572.99,7515,15,0
2024-09-18 04:00:00,2573.0,2576.44,2567.97,2568.67,26518,15,0
2024-09-18 08:00:00,2568.63,2571.94,2565.73,2569.78,26449,15,0
2024-09-18 12:00:00,2569.79,2580.73,2567.98,2576.23,24773,15,0
2024-09-18 16:00:00,2576.23,2578.53,2568.02,2574.85,38937,15,0
2024-09-18 20:00:00,2574.84,2600.12,2546.8,2559.23,61619,15,0
2024-09-19 00:00:00,2558.69,2561.6,2555.61,2558.76,12958,15,0
2024-09-19 04:00:00,2558.73,2566.68,2551.04,2564.06,34888,15,0
2024-09-19 08:00:00,2564.06,2586.6,2563.94,2584.95,39409,15,0
2024-09-19 12:00:00,2584.95,2594.82,2573.17,2576.78,41490,15,0
2024-09-19 16:00:00,2576.74,2592.57,2569.74,2591.73,52851,15,0
2024-09-19 20:00:00,2591.74,2592.66,2585.89,2586.57,17081,15,0
2024-09-20 00:00:00,2586.29,2588.49,2585.92,2588.04,6168,15,0
2024-09-20 04:00:00,2588.14,2594.33,2584.8,2593.69,25588,15,0
2024-09-20 08:00:00,2593.7,2612.73,2592.37,2609.78,34266,15,0
2024-09-20 12:00:00,2609.78,2619.33,2602.45,2615.59,31196,15,0
2024-09-20 16:00:00,2615.58,2625.74,2602.6,2624.88,59129,15,0
2024-09-20 20:00:00,2624.86,2625.36,2617.83,2622.12,21902,15,0
2024-09-23 00:00:00,2619.3,2621.99,2618.19,2618.24,6918,15,0
2024-09-23 04:00:00,2618.29,2631.1,2616.05,2629.4,22070,15,0
2024-09-23 08:00:00,2629.39,2631.32,2613.86,2616.82,34740,15,0
2024-09-23 12:00:00,2616.83,2628.04,2615.4,2627.02,27079,15,0
2024-09-23 16:00:00,2627.08,2634.84,2625.57,2628.18,49005,15,0
2024-09-23 20:00:00,2628.17,2629.08,2625.68,2628.36,15262,15,0
2024-09-24 00:00:00,2628.98,2628.98,2623.82,2625.17,6543,15,0
2024-09-24 04:00:00,2625.18,2638.24,2624.9,2638.09,29738,15,0
2024-09-24 08:00:00,2638.1,2640.06,2622.62,2629.06,39616,15,0
2024-09-24 12:00:00,2629.06,2636.16,2623.29,2633.15,32559,15,0
2024-09-24 16:00:00,2633.16,2655.12,2630.91,2653.5,58394,15,0
2024-09-24 20:00:00,2653.52,2664.33,2649.78,2657.01,23526,15,0
2024-09-25 00:00:00,2656.9,2660.92,2656.58,2660.81,8746,15,0
2024-09-25 04:00:00,2660.82,2670.48,2655.5,2658.93,34485,15,0
2024-09-25 08:00:00,2658.93,2659.81,2651.62,2655.9,32431,15,0
2024-09-25 12:00:00,2655.9,2660.77,2652.71,2659.5,27829,15,0
2024-09-25 16:00:00,2659.49,2667.47,2649.7,2653.72,52647,15,0
2024-09-25 20:00:00,2653.68,2662.95,2653.14,2656.88,18071,15,0
2024-09-26 00:00:00,2656.44,2660.3,2655.4,2659.1,7610,15,0
2024-09-26 04:00:00,2659.1,2662.91,2657.06,2660.68,22300,15,0
2024-09-26 08:00:00,2660.66,2670.5,2657.97,2669.01,35071,15,0
2024-09-26 12:00:00,2669.0,2685.5,2666.9,2677.25,42406,15,0
2024-09-26 16:00:00,2677.25,2679.69,2654.78,2668.17,63899,15,0
2024-09-26 20:00:00,2668.1,2677.88,2667.5,2672.29,20296,15,0
2024-09-27 00:00:00,2670.56,2673.24,2669.37,2669.81,7691,15,0
2024-09-27 04:00:00,2669.8,2673.96,2666.22,2670.46,31292,15,0
2024-09-27 08:00:00,2670.48,2671.31,2660.94,2662.56,44479,15,0
2024-09-27 12:00:00,2662.56,2674.29,2658.32,2670.07,34939,15,0
2024-09-27 16:00:00,2670.06,2671.03,2644.73,2651.76,59543,15,0
2024-09-27 20:00:00,2651.76,2659.82,2643.12,2659.58,23118,15,0
2024-09-30 00:00:00,2657.79,2665.98,2657.06,2661.64,21705,15,0
2024-09-30 04:00:00,2661.65,2664.36,2647.31,2655.84,44192,15,0
2024-09-30 08:00:00,2655.85,2660.61,2650.69,2653.56,45338,15,0
2024-09-30 12:00:00,2653.54,2653.64,2634.45,2638.95,46748,15,0
2024-09-30 16:00:00,2638.95,2642.1,2628.8,2639.08,67330,15,0
2024-09-30 20:00:00,2639.11,2641.79,2624.67,2634.55,39827,15,0
2024-10-01 00:00:00,2633.85,2637.18,2632.13,2636.5,8974,15,0
2024-10-01 04:00:00,2636.5,2640.4,2634.51,2639.62,17515,15,0
2024-10-01 08:00:00,2639.62,2647.36,2639.54,2646.53,37506,15,0
2024-10-01 12:00:00,2646.53,2656.66,2645.39,2651.49,41164,15,0
2024-10-01 16:00:00,2651.49,2673.04,2647.99,2666.46,86053,15,0
2024-10-01 20:00:00,2666.53,2671.71,2657.57,2663.34,37195,15,0
2024-10-02 00:00:00,2662.78,2663.43,2656.97,2657.39,9966,15,0
2024-10-02 04:00:00,2657.39,2661.96,2652.58,2654.15,26378,15,0
