time,open,high,low,close,tick_volume,spread,real_volume,close_oro,ratio_eur_oro,ratio_desviacion,divergencia_retornos,oro_tendencia,ratio_volatilidad,correlacion,correlacion_ma,oro_momentum
2024-10-03 08:00:00,1.10324,1.10457,1.10245,1.10371,16077,11,0,2645.16,0.00041725642305191367,-0.42788992566734685,0.0041284800670469135,-0.0004991880819441477,0.6863329895268363,0.4699302286843636,0.5048940418947411,-0.0016719567933153323
2024-10-03 12:00:00,1.10371,1.10462,1.10276,1.10317,15733,11,0,2642.42,0.0004174847299066764,-0.30905368298793945,0.0005465952099393823,-0.0008501336229229153,0.6951609043712845,0.46130530776096795,0.4989600147388984,-0.002755008076324894
2024-10-03 16:00:00,1.10317,1.10432,1.10078,1.10299,26812,11,0,2660.01,0.00041465633587843646,-1.1317999170832738,-0.006819942890994746,-0.0006490311376704934,0.4634040442389575,0.46280310625574944,0.493021131966044,0.0005153010561791405
2024-10-03 20:00:00,1.10299,1.10355,1.10245,1.1029,9294,11,0,2656.0,0.0004152484939759036,-0.8727397124431818,0.0014259167416500462,-0.0003748268592586026,0.5147868835664499,0.4509738691523068,0.487324446499353,-0.0006734918861158734
2024-10-04 00:00:00,1.10289,1.10391,1.10252,1.10341,3618,11,0,2657.25,0.0004152450842035939,-0.802017918489585,-8.215266542599409e-06,-3.5428235021713435e-05,0.4468118875176765,0.4514105507816787,0.48151031822270696,0.0008512273115908187
2024-10-04 04:00:00,1.10341,1.10355,1.10247,1.10272,7533,11,0,2664.09,0.00041391995015183417,-1.2843742407446157,-0.003199423945725366,0.0005911460518983311,0.4428569052034372,0.45227832138139645,0.4762196952168896,0.007156466905593684
2024-10-04 08:00:00,1.10272,1.10352,1.10206,1.10251,12398,11,0,2659.01,0.0004146317614450491,-0.9452029248198504,0.0017164042973478733,0.0009859574876037098,0.4335079513404033,0.4317818116311709,0.46980220101038644,0.006278335767970322
2024-10-04 12:00:00,1.10251,1.10364,1.09584,1.09606,18338,11,0,2638.79,0.00041536461787410143,-0.5294776906187135,0.001754046871610182,0.0006309994440416655,0.509209234197005,0.4326125252130543,0.4634220228896952,-0.007977413618745932
2024-10-04 16:00:00,1.09606,1.09811,1.09507,1.09592,26289,11,0,2645.34,0.00041428323013298856,-1.3178166246296728,-0.0026099285140188666,0.00024223786048276858,0.47471783581821986,0.48020203417202156,0.4594124745468255,-0.004013554216867443
2024-10-04 20:00:00,1.09592,1.09774,1.09571,1.09739,8439,11,0,2653.56,0.000413553867257571,-1.7197521932814857,-0.0017660122560887448,0.00026400519260491963,0.45761561567060005,0.4788568996248453,0.4582626974649668,-0.0013886536833191965
