time,open,high,low,close,tick_volume,spread,real_volume,sent_mean,sent_std,sent_min,sent_max,impact_mean,impact_sum,sent_balance,sent_ma_24h,sent_trend,impact_volatility,retorno
2024-08-21 08:00:00,1.11224,1.11227,1.11121,1.11157,877,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-08-21 12:00:00,1.11157,1.11286,1.11088,1.11134,6964,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020691454429311307
2024-08-21 16:00:00,1.11129,1.11571,1.10993,1.11544,11241,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003689240016556683
2024-08-21 20:00:00,1.1154,1.11727,1.11459,1.11479,5001,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005827296851467212
2024-08-22 00:00:00,1.11474,1.11566,1.11413,1.11419,3179,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005382179603332649
2024-08-22 04:00:00,1.11419,1.11444,1.11391,1.11417,2905,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7950259829979665e-05
2024-08-22 08:00:00,1.11417,1.11644,1.11261,1.11385,7683,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000287209312762049
2024-08-22 12:00:00,1.11386,1.11448,1.11109,1.11175,8039,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018853526058266734
2024-08-22 16:00:00,1.11179,1.11183,1.10968,1.11014,9204,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001448167303800374
2024-08-22 20:00:00,1.11014,1.11121,1.11014,1.11098,3570,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007566613219955887
2024-08-23 00:00:00,1.11098,1.1127,1.11094,1.11263,3679,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014851752506794824
2024-08-23 04:00:00,1.11263,1.11275,1.11216,1.11247,3121,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014380342072384256
2024-08-23 08:00:00,1.11244,1.11307,1.11112,1.1116,6105,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007820435607254206
2024-08-23 12:00:00,1.11158,1.1122,1.11042,1.11135,6564,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022490104354067064
2024-08-23 16:00:00,1.11133,1.11965,1.1113,1.11913,12723,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007000494893597775
2024-08-23 20:00:00,1.11914,1.11997,1.11843,1.11915,4361,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7871024813986836e-05
2024-08-26 00:00:00,1.11906,1.12003,1.11851,1.11881,5461,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00030380199258361884
2024-08-26 04:00:00,1.11881,1.11934,1.11764,1.11779,3599,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009116829488474698
2024-08-26 08:00:00,1.11779,1.11879,1.11703,1.1173,6920,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00043836498805682744
2024-08-26 12:00:00,1.1173,1.11755,1.11488,1.11584,8567,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013067215609057214
2024-08-26 16:00:00,1.11584,1.11776,1.11527,1.11683,7779,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008872239747634847
2024-08-26 20:00:00,1.11683,1.11697,1.11572,1.11598,3776,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007610827073054605
2024-08-27 00:00:00,1.11598,1.11693,1.11583,1.11679,3273,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007258194591299727
2024-08-27 04:00:00,1.11679,1.1171,1.11629,1.11656,2955,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020594740282409152
2024-08-27 08:00:00,1.11655,1.11774,1.116,1.11669,7030,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001164290320267991
2024-08-27 12:00:00,1.11669,1.11686,1.11491,1.11671,7834,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7910073520921443e-05
2024-08-27 16:00:00,1.11666,1.11814,1.11574,1.118,8415,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011551790527530859
2024-08-27 20:00:00,1.11797,1.11893,1.11787,1.11816,3934,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014311270125211273
2024-08-28 00:00:00,1.11816,1.11839,1.11708,1.11725,4441,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008138370179580079
2024-08-28 04:00:00,1.11725,1.11764,1.11385,1.11425,4165,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026851644663236085
2024-08-28 08:00:00,1.11425,1.11565,1.11339,1.11504,3240,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000708997083239904
