timestamp,accion,precio_actual,precio_predicho,precio_entrada,take_profit,stop_loss,confianza,rsi
2025-11-05 21:41:33,ESPERAR,1.15074,1.1513585480749606,1.15074,,,53.752200754343654,44.46620959843377
2025-11-06 09:02:07,ESPERAR,1.15351,1.154198841252327,1.15351,,,59.71697274639428,65.62500000000064
2025-11-06 09:08:03,ESPERAR,1.15365,1.1542980434381962,1.15365,,,56.17331410706307,66.29834254143678
2025-11-06 09:26:12,ESPERAR,153.53,153.59753472566604,153.53,,,43.9879669550159,50.95277547638756
2025-11-06 10:34:30,COMPRAR,1.15288,1.1536876159977913,1.15288,1.16088,1.14888,70.05204338625394,62.03301476976526
2025-11-06 11:07:49,COMPRAR,176.569,176.77561081111432,176.569,176.577,176.565,100,50.87847730600298
2025-11-06 11:15:54,ESPERAR,176.64,176.60983235591652,176.64,,,17.078602855221142,31.821675634125327
2025-11-06 11:30:38,COMPRAR,176.617,176.92080826526882,176.617,176.625,176.613,100,51.78837555886745
2025-11-06 11:46:33,VENDER,1.3109899999999999,1.310039180342555,1.3109899999999999,1.3029899999999999,1.3149899999999999,72.52684287788713,63.382687927106666
2025-11-06 12:06:26,VENDER,1.41228,1.411260976406932,1.41228,1.40428,1.41628,72.154501449291,69.71777269260073
2025-11-06 12:17:40,VENDER,1.6297700000000002,1.6216500972390175,1.6297700000000002,1.6217700000000002,1.6337700000000002,100,85.9900373599012
2025-11-06 12:25:54,VENDER,1.78388,1.7792858073139188,1.78388,1.77588,1.78788,100,63.85618166526484
2025-11-10 09:43:08,COMPRAR,1.77243,1.7752031957221028,1.77243,1.78043,1.76843,100,55.81339712918646
2025-11-10 09:52:15,COMPRAR,1.31595,1.317103028332591,1.31595,1.32395,1.31195,87.61946370235356,67.69574944071603
2025-11-10 09:59:50,COMPRAR,1.1565,1.1583750638461112,1.1565,1.1645,1.1525,100,70.54140127388536
2025-11-10 10:05:53,VENDER,1.62141,1.615240795185566,1.62141,1.61341,1.62541,100,45.24805738194869
2025-11-10 10:16:05,VENDER,1.40226,1.4004556370460988,1.40226,1.39426,1.40626,100,24.835309617917957
2025-11-10 10:40:18,COMPRAR,1.77095,1.7727547564941644,1.77095,1.77895,1.76695,100,54.11877394636001
2025-11-17 17:05:53,ESPERAR,1.7845,1.7848169165158272,1.7845,,,17.759401279193874,58.154761904761614
2025-11-17 17:33:17,VENDER,1.78519,1.7815736792993546,1.78519,1.77719,1.78919,100,59.306184012066254
2025-11-17 17:39:54,COMPRAR,1.40526,1.4431579615974426,1.40526,1.41326,1.40126,100,62.70456503014706
